pali_1,pos,meaning_1,root,pattern,sbs_class
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,√chad,,8
acchidda 1,pp,unbroken; flawless; without cracks,√chid,a pp,11
acchejji,aor,completely cut out; utterly severed; totally destroyed,√chid,i aor,14
ajāta 1,pp,unborn; uncreated; unproduced,√jan,a pp,11
ajānanta,prp,not knowing; being ignorant (of),√ñā,anta prp,10
ajesi,aor,conquered; defeated,√ji 1,esi aor,4
ajja,ind,today; now,,,6
ajjhabhāsi,aor,addressed; spoke (to),√bhās 1,i aor,4
ajjhāruha,adj,which takes over; which overwhelms; which overgrows,√ruh,a adj,11
ajjhāvasatar,masc,who lives in a home; who is domestically settled,√vas 1,ar masc,6
ajjhāvasati 1,pr,lives (in); inhabits; stays (in); is settled (in),√vas 1,ati pr,3
ajjhokirati,pr,scatters down; pours down,√kir,ati pr,3
ajjhositabba,ptp,should be fixated on; should be clung to; should be tied to,√sā,a ptp,14
ajjhohari,aor,swallowed,√har 2,hari aor,4
añjali 1,masc,palms placed together (as a token of respect),√añj 3,i masc,4
añña 1.1,pron,another; other; different; someone else; not oneself,,a pron,10
aññatara 1,pron,a certain; a,,a pron,10
aññatara 2,pron,one (of); either one (of),,a pron,10
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,,,13
aññathā 1,ind,differently; otherwise,,,13
aññātuṃ,inf,to know; to understand,√ñā,,9
aññāya 1,ger,knowing; understanding; comprehending,√ñā,,8
aṭṭīyati,pr,is troubled (by); is perturbed (by),√add,ati pr,13
aṭṭha 1.1,card,eight (8),,a1 card,12
aṭṭhama 1,ordin,eighth (8th),,aī ordin,12
aṭṭhasata,card,one hundred and eight (108),,a2 card,12
aṭṭhārasa 1,card,eighteen (18),,a1 card,12
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā,āsi aor,4
aṭṭhi 1.1,nt,bone,,i nt,9
aṭṭhi 2.1,masc,intention; goal; purpose,√ar,i masc,4
aḍḍha 1.1,adj,half,,a adj,11
aṇu 1,adj,small; tiny; minute; minuscule,,u adj,11
aṇu 2,adj,subtle; fine,,u adj,11
aṇḍa 1,nt,egg,,a nt,9
atikkama 1,masc,surpassing; transcending; going beyond; overcoming (of),√kam 1,a masc,2
atikkamati 3,pr,passes by; goes past,√kam 1,ati pr,3
atikkāmeti 2,pr,exceeds; goes over; oversteps,√kam 1,eti pr,14
atipātī 1,adj,attacking; harming; killing,√pat 1,ī adj,14
atippago,ind,too early (to),,,9
atiyātuṃ,inf,to re-enter,√yā,,9
atīta 2,pp,past; gone past; bygone,√i 1,a pp,11
attatā,fem,selfhood; beingness; state of being,,ā fem,7
attato,ind,as oneself; as self,,,11
attani 2,masc,when self; when oneself,,a2 masc,10
attaniya,adj,one's own; belonging to oneself; fit to be a self,,a adj,11
attha 1.1,masc,meaning; sense; significance,√ar,a masc,2
attha 1.2,masc,benefit; profit; good; welfare; goal,√ar,a masc,2
attha 1.3,masc,purpose; use; function,√ar,a masc,2
attha 2.1,masc,need (for); want (for),√atth,a masc,2
attha 3.1,masc,home; rest; shelter,,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1,atthi pr,4
atthaṅgate sūriye,idiom,after sunset,,,10
atthaṃ,ind,for the sake (of); for the purpose (of); for the benefit (of),√ar,,13
atthāya 1,masc,for the purpose (of); for the sake (of); for the benefit (of),√ar,a masc,9
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),√ar,a masc,9
atthi 1.1,pr,there is; there exists,√as 1,atthi pr,4
atthi 2.1,masc,seeker; who wants; who needs; who desires,√atth,i masc,4
atthitā,fem,existence; idea of existence; fact of being present,√as 1,ā fem,7
adassana 1,nt,out of sight (of); disappearance (of); where one cannot be seen,√dis 1,a nt,9
adassāvī,adj,who has no regard (for),√dis 1,ī adj,5
adāsi,aor,gave (to); offered (to),√dā 1,āsi aor,4
adiṭṭha 1.1,pp,not seen; unseen,√dis 1,a pp,11
adinna 1.1,nt,which is not given; something not offered,√dā 1,a nt,11
adukkha,adj,comfortable; free from trouble; without suffering; pain-free,√dukkh,a adj,11
adesayi,aor,taught; explained,√dis 2,i aor,14
addhāna 1,nt,long road; highroad; journey,,a nt,9
addhāna 2,nt,time; period; extent,,a nt,9
addhuva,adj,not stable; not enduring; not eternal,√dhuv,a adj,11
addhuvato,ind,as unstable; as unenduring; as not eternal,√dhuv,,13
adhamma 1,masc,misconduct; immoral behaviour; unjust means; cheating,√dhar 1,a masc,5
adhamma 2,masc,false teaching; something opposed to the teaching,√dhar 1,a masc,5
adhikaraṇa 1,nt,(vinaya) issue; legal procedure; disciplinary proceedings,√kar,a nt,9
adhigacchati,pr,gets to; attains; finds; acquires; obtains,√gam,ati pr,3
adhigata 1,pp,got; acquired; attained; achieved,√gam,a pp,11
adhicitta,nt,meditation; mental development; higher consciousness,√cit 1,a nt,9
adhiṭṭhahāna,prp,concentrating (on); focusing (on); fixing one’s attention (on),√ṭhā,āna prp,10
adhiṭṭhahi 1,aor,fixed attention (on),√ṭhā,i aor,4
adhiṭṭhāna 2,nt,standpoint; prejudice; bias; preconception,√ṭhā,a nt,9
adhimutta 1,pp,set (on); intent (on); focused (on); fixed (on); fixated (on); resolved (on),√muc,a pp,11
adhunā,ind,recently; now; presently; at this time,,,13
anagāriya,nt,homelessness; homeless state,,a nt,9
anaṅgaṇa,adj,spotless; blemish free,√añj 2,a adj,11
anañña,pron,not another; no other,,a pron,10
anatimānī,adj,who is not conceited; who is not arrogant; who is humble,√man,ī adj,5
anatīta,pp,not past; not free from; not exempt; unavoidable; subject to,√i 1,a pp,11
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,,a adj,11
anattato,ind,as impersonal; as not oneself; as non-subjective,,,11
ananugiddha,pp,not greedy; without desire (among),√gidh,a pp,11
ananuyutta,pp,not devoted (to); not applying oneself (to); not practising,√yuj,a pp,11
ananuvajja,ptp,not blameworthy (for); praiseworthy (for); faultless (for),√vad 1,a ptp,14
anabhinanditvā,abs,having not approved (of); having not applauded,√nand,,8
anabhineti,pr,does not invite; does not conduct towards,√nī,eti pr,5
anariya 1,adj,ignoble; vulgar; coarse,,a adj,11
analasa,adj,active; energetic; industrious; not lazy,√las,a adj,11
anavajja 1,ptp,irreproachable; faultless; blameless; innocent,√vad 2,a ptp,14
anavasesa 1,adj,all; without exception,√sis,a adj,11
anāgata 1,pp,not come; not arrived; not present,√gam,a pp,11
anāgata 2,pp,future,√gam,a pp,11
anāgāmī,adj,who does not return; non-returning,√gam,ī adj,5
anātura,adj,healthy; free from suffering,√tur 1,a adj,11
anādiya,ger,not taking up,√ādā,,8
anānupuṭṭha,pp,unasked; unquestioned,√pucch,a pp,11
anāpucchanta,prp,not asking permission; not informing,√pucch,anta prp,10
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,√lī 1,a masc,5
anāsava 1,adj,free from the effluents; taint-less; undefiled,√su 2,a adj,11
anāhāra,adj,without fuel; without nutriment,√har 2,a adj,11
aniketa,adj,homeless,√kit 2,a adj,11
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,,a adj,11
aniccato,ind,as impermanent; as unstable; as transient; as unreliable,,,11
anibbisanta,prp,not understanding; not penetrating; not finding; not getting hold (of),√vis 1,anta prp,10
animitta 1,pp,signless; featureless; free of mental images,√mā,a pp,11
anissita 1,pp,detached (from); disengaged (from); separated (from); independent (of),√si 1,a pp,11
anukampī,adj,compassionate; sympathetic; concerned (for),√kamp,ī adj,5
anuggaha 2.1,masc,support; help; assistance,√gah,a masc,2
anuṭṭhita 1.1,pp,practised; established; (comm) repeatedly practised,√ṭhā,a pp,11
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),,a adj,11
anudhāvati 1,pr,runs along; sprints along,√dhāv 1,ati pr,3
anupagamma 1,ger,avoiding; not going near,√gam,,8
anupaddava,adj,safe; free from danger; uninjured; unafflicted,√du,a adj,11
anupabbajjā,fem,following (of) into the monastic life; ordination under,√vaj,ā fem,7
anuparidhāvati,pr,runs around; circles around; rotates around,√dhāv 1,ati pr,3
anupariyāya 1,adj,going around; encircling; perimeter,√yā,a adj,11
anuparivattati 1,pr,circles around; revolves around; rotates around,√vatt,ati pr,3
anuparivattiyamāna,prp,being revolved around; being rotated; being done routinely; being done regularly,√vatt,māna prp,13
anupalabbhamāna 1,prp,not being found; being nonexistent,√labh,māna prp,13
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1,ī adj,5
anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of),√ādā,,8
anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),√ādā,anta prp,10
anupubbena,ind,gradually; step-by-step; successively; stage-by-stage,,,13
anupekkhita,pp,carefully considered; re-examined; re-looked at,√ikkh,a pp,11
anuppanna,pp,unborn; unarisen; not existing; nonexistent,√pad,a pp,11
anuppavecchati,pr,gives; bestows; offers support,√yam 2,ati pr,3
anuppāda,masc,non-arising; non-appearance; not coming into existence,√pad,a masc,5
anubandhitabba,ptp,should be followed (by); should be trailed (by),√bandh,a ptp,14
anubyañjana 1,nt,secondary characteristic; detail; feature,√añj 1,a nt,9
anubrūhanta,prp,fostering; nurturing; developing; increasing,√brūh,anta prp,10
anubrūhayati,pr,fosters; nurtures; develops; cultivates; increases,√brūh,ati pr,14
anumodati 1,pr,approves (of); appreciates; applauds; is pleased (by),√mud,ati pr,3
anuyuñjati 2,pr,indulges (in); is addicted (to),√yuj,ati pr,3
anuyutta 1,pp,devoted (to); applied oneself (to); practised; doing,√yuj,a pp,11
anulometi 2,pr,regulates; settles; balances,,eti pr,3
anusaññātuṃ,inf,to go around; to visit; to inspect,√yā,,9
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),√sī,a masc,2
anusāsanī,fem,advice; instruction; teaching,√sās,ī fem,8
anusāviyamāna,prp,being announced; being declared; being stated,√su 1,māna prp,14
anussati,fem,memory (of); recollection (of),√sar 2,i fem,8
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 2,ati pr,3
anussaranta,prp,remembering; recollecting; keeping in mind,√sar 2,anta prp,10
anussuka,adj,not zealously desiring; not ambitious; not anxiously striving; calm; relaxed; unagitated,,a adj,11
anuvattaka 3,masc,follower; partisan; who sides (with),√vatt,a masc,2
anuvattī,adj,following; acting according to; obedient to,√vatt,ī adj,5
anuvicāreti,pr,re-looks at; re-examines; reflects (on); meditates (on),√car 1,eti pr,14
anuviloketi,pr,looks around; surveys,√lok,eti pr,3
anūpaghāta,masc,not harming; not hurting; non-violence,√ghaṭ 1,a masc,5
anūpavāda,masc,not blaming; without insulting; not abusing,√vad 1,a masc,5
anūhata,pp,not destroyed; unimpaired; not uprooted,√han,a pp,11
aneka,adj,many; various; countless,,eka adj,11
anoka 1,adj,homeless; without worldly attachment,√uc,a adj,11
anta 2,masc,end (of); limit (of); finish (of); conclusion (of),,a masc,2
anta 3,masc,end; side; extreme,,a masc,2
anta 4,nt,intestines; entrails,,a nt,9
antamaso 1,ind,even so much as; even with; even down to; with as little as,,,13
antarā 3,ind,inside; within; internally,,,13
andha 1.2,adj,blind; sightless; visually impaired,,a adj,11
anvāssavati,pr,streams in; floods in; overwhelms,√su 2,ati pr,3
apakkanta,pp,departed (from); left; strayed (from); veered away (from),√kam 1,a pp,11
apagata 1,pp,without; free (from); with no,√gam,a pp,11
apaññatta 1,pp,,√ñā,a pp,14
apadisitabba,ptp,should be referred to; should be claimed as; to be pointed to,√dis 2,a ptp,14
apabodheti,pr,avoids; shies away (from); draws away (from); keeps clear (of); is wary (of),√budh,eti pr,14
apara 1,adj,another; after; further; next,,a adj,11
aparājita 1,pp,unconquered; undefeated; victorious; triumphant,√ji 1,a pp,11
aparāmaṭṭha,pp,irreproachable; untouchable; untarnished,√mas 1,a pp,11
aparikkamana,adj,not accessible; not approachable,√kam 1,a adj,11
aparitassanta,prp,being unperturbed; being unshaken,√tas 3,anta prp,13
aparipūra,adj,incomplete (in); deficient (in); lacking (in); unfulfilled (in),√pūr,a adj,11
aparimāṇa,adj,measureless; boundless,√mā,a adj,11
aparimita,pp,immeasurable; limitless,√mā,a pp,11
apariyādinna 1,pp,not used up; not exhausted; not consumed; not run out,√ādā,a pp,11
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,√hā 2,a nt,9
apasādeti,pr,disparages; belittles; puts down,√sad,eti pr,14
apassanta,prp,not seeing; not noticing; not aware,√dis 1,anta prp,10
apāya 1,masc,state of loss; state of misery,√i 1,a masc,2
apucchi,aor,asked; enquired,√pucch,i aor isuṃ,4
appa 1,adj,few; not many; not much,,a adj,11
appa 2,adj,short; small; insignificant,,a adj,11
appaka 2,nt,few things; few people; small amount,,a nt,9
appagabbha,adj,not cheeky; courteous; respectful; modest; unassuming,√gabbh,a adj,11
appaccakkhāya,ger,not giving up; not disavowing; not renouncing; not rejecting,√khā,,8
appaccaya 1.2,masc,indignation; outrage; bitterness,√i 1,a masc,5
appaṭikkositvā,abs,having not disapproved; having not rejected,√kus 1,,8
appatvā 1,abs,having not reached; having not arrived (at),√ap,,8
appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to),√mad,a pp,11
appamāṇa 1,adj,immeasurable; unlimited; limitless; boundless,√mā,a adj,11
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness,√mad,a masc,5
appavārita,pp,uninvited; not asked; unoffered,√var 2,a pp,11
appiya 1,adj,not dear (to); unloved (by); disliked (by),√pī,a adj,11
abandhana 1,adj,free; unchained; unshackled; untied,√bandh,a adj,11
abbuyha,ger,pulling up; pulling out; tearing up; uprooting,√buh,,8
abbhakkhāna,nt,misrepresenting; slandering; falsely accusing,√khā,a nt,9
abbhācikkhi,aor,misrepresented; slandered; falsely accused,√cikkh,i aor,4
abbhuggañchi,aor,arose (into); rose up (into); flew up (into),√gam,i aor,4
abbhuggata,pp,arisen (about); spread (about); circulated (about),√gam,a pp,11
abbhuta 1,adj,marvellous; extraordinary; unbelievable; astonishing,,a adj,11
abbhetabba,ptp,(vinaya) should be rehabilitated; should be reintegrated; should be readmitted,√vhe,a ptp,14
abyatta,pp,inexperienced; incompetent; inept untrained,√añj 1,a pp,11
abyāpajjha 2.2,adj,free from ill will; not malicious; kind-hearted,√pad,a adj,11
abyāpanna,pp,without ill-will; not malicious; without hate,√pad,a pp,11
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,√pad,a masc,5
abyositatta,nt,fact of not being perfected; fact of not being accomplished,√sā,a nt,9
abhajitabba,ptp,should not be kept company with; should not be associated with; should not be adhered to; (comm) should not be stuck to,√bhaj 2,a ptp,14
abhaṇi,aor,spoke; recited,√bhaṇ,i aor,4
abhabba 1,ptp,unable (to); impossible (to); incapable (of); unlikely (to),√bhū,a ptp,14
abhāsi 1,aor,spoke; said,√bhā,i aor isuṃ,4
abhikkanta 1,pp,superb; surpassing; excellent,√kam 1,a pp,11
abhikkanta 3,pp,advanced; progressed; moved on; (comm) ending; depletion,√kam 1,a pp,11
abhikkantāya rattiyā,idiom,as the evening passed; as the night progressed,,,10
abhigijjhati,pr,envies; begrudges; covets; is jealous (of),√gidh,ati pr,3
abhijānāti 4,pr,clearly remembers; accurately recalls,√ñā,āti pr,3
abhijjhā,fem,wishing; wanting; covetousness; greed,√jhā,ā fem,7
abhijjhālu,adj,covetous; avaricious; greedy,√jhā,u adj,11
abhiññā 1,fem,direct knowledge; higher understanding; specialized knowledge,√ñā,ā fem,7
abhiññā 3,ger,directly knowing; understanding experientially,√ñā,,8
abhiṭhāna,nt,deadly sin; heinous crime; great wrong,√ṭhā,a nt,9
abhiṇhaṃ,ind,continuously; repeatedly; regularly; often,√ikkh,,13
abhitthavati,pr,,√thu 2,ati pr,3
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,√nand,i aor,4
abhinanditabba,ptp,should be delighted in; should be approved of; should be applauded,√nand,a ptp,14
abhiniggaṇhāti,pr,firmly grabs hold (of); seizes tightly; forces into submission; forcibly restrains,√gah,āti pr,3
abhininnāmeti 1,pr,inclines (towards); bends (towards); directs (towards),√nam,eti pr,14
abhinipajjituṃ,inf,to lie down (on); to lie (in),√pad,,9
abhinippīḷeti 1,pr,completely crushes down; squeezes down hard,√pīḷ,eti pr,3
abhinipphanna,pp,accomplished (by); attained (by); materialized (by); produced (by),√pad,a pp,11
abhinipphādeti,pr,produces; comes up with,√pad,eti pr,14
abhinisīdituṃ,inf,to sit down (in); to sit (on),√sad,,9
abhinivissa,ger,attaching; clinging; adhering; sticking,√vis 1,,8
abhipatthayati,pr,longs (for); hopes (for); craves (for); aspires (for),√atth,ati pr,3
abhippakirati,pr,completely covers; scatters (over); pours (onto),√kir,ati pr,3
abhippamodayanta,prp,gladdening; pleasing; satisfying,√mud,anta prp,14
abhibhū 1,masc,conqueror; victor; vanquisher; master (of),√bhū,ū masc,6
abhirati,fem,pleasure (in); delight (in); happiness (in),√ram 1,i fem,8
abhiramati,pr,enjoys; delights (in); takes pleasure (in),√ram 1,ati pr,3
abhisaṅkharoti 1,pr,creates; constructs; generates; forms; fabricates,√kar,oti pr,3
abhisaṅkharoti 2,pr,does; performs,√kar,oti pr,3
abhisajjati 2.1,pr,loses one's temper; curses angrily; abuses; swears; (comm) sticks,√sajj 1,ati pr,3
abhisantāpeti,pr,tortures; torments,√tap,eti pr,14
abhisanda 1,masc,outcome; outflow; stream,√sand,a masc,2
abhisandeti,pr,fills up; fills to the brim; overflows,√sand,eti pr,14
abhisamaya,masc,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to),√i 1,a masc,2
abhisambuddha 1,pp,realised (by); perfectly understood (by); discovered (by),√budh,a pp,11
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,√vaḍḍh,ati pr,3
abhivaditabba,ptp,should be welcomed; should be greeted,√vad 1,a ptp,14
abhūta 1,pp,not become; not happened,√bhū,a pp,11
abhūtena,ind,falsely; untruthfully,√bhū,,13
amata 1.1,nt,deathless state; immortality; epithet of Nibbāna,√mar,a nt,11
amanussa 1,masc,deity; god; demon; ghost,,a masc,5
amaritukāma,adj,not wishing to die,,a adj,9
amu,pron,(of person or place or thing) that; such; so and so,,amu pron,10
amuka,adj,that; such and such (person or place),,a adj,11
amutra,ind,there; in such-and-such a place,,,13
arañña,nt,forest; wood; wild; wilderness,√ar,a nt,9
arahati 3,pr,should; ought (to); is suitable (for); it is befitting (for),√arah,ati pr,3
ariya 1,adj,noble; distinguished; of the Buddha,,a adj,11
aruṇa 1,masc,red light; reddish colour in the sky; rosy fingered dawn,,a masc,2
aroga,adj,healthy; free from disease,√ruj,a adj,11
alaṃ 1,ind,(it is) suitable (to); proper (to); appropriate (to); worthy (for),,,9
alaṃ 2,ind,is able (to); is possible (to); is capable (of),,,9
alaṃ 3,ind,enough; it is enough (for),,,9
alika 1,nt,lie; falsehood; untruth,,a nt,9
aluddha,masc,who is not greedy,√lubh 1,a masc,11
alobha,masc,non-greed; absence of desire; moderation,√lubh 1,a masc,5
asaṅkuppa,ptp,,√kup,a ptp,14
asaṅkhata,pp,unconditioned; not created; unformed; unconstructed; epithet of Nibbāna; (comm) not made,√kar,a pp,11
asaṅkhāditvā,abs,without having chewed,√khād,,8
asati 1.1,prp,when isn’t; when not existing,√as 1,anta prp,10
asanta 1.1,prp,untrue; false,√as 1,santa prp,10
asante,prp,when there isn’t; when not existing; when does not exist,√as 1,santa prp,10
asapatta,adj,peaceful; without hostility,√pat 2,a adj,11
asabala,adj,not spotted; not mottled; not patchy,,a adj,11
asamanupassanta,prp,not seeing; not perceiving,√dis 1,anta prp,10
asamaya 1,masc,wrong time; inopportune time; inappropriate occasion,√i 1,a masc,5
asambādha,adj,unobstructed; unhindered; unrestricted,√bādh,a adj,11
asammuṭṭha,pp,unmuddled; without confusion; not forgotten,√mus 1,a pp,11
asammosa,masc,not forgetting; non-confusion,√mus 1,a masc,5
asallīna,pp,active; not sluggish,√lī 1,a pp,11
asassata,adj,not eternal; not endless; not perpetual,,a adj,11
asaṃvāsa 1,adj,(vinaya) expelled; excommunicated; unaffiliated; not part of the community,√vas 1,a adj,11
asaṃvuta 2,pp,unrestrained (in); uncontrolled (in); unguarded (in),√var 1,a pp,11
asaṃhira,ptp,unmovable; unshakeable; unassailable (by),√har 1,a ptp,14
asāra,adj,essenceless; substanceless; worthless; useless,√sar 1,a adj,11
asārato,ind,as unessential; as insubstantial; as valueless; as essenceless,√sar 1,,11
asāraddha,pp,unagitated; unaroused; unexcited; calm,√rabh 2,a pp,11
asita 1.1,pp,eaten,√as 3,a pp,11
asita 1.2,nt,eating,√as 3,a nt,11
asissaṃ,fut,I myself will eat,√as 3,ati pr,5
asissāmi,fut,I will eat,√as 3,ati pr,5
asukha,adj,,√sukh,a adj,11
asubha 1,adj,ugly; disgusting; foul; unattractive,√subh,a adj,11
asubhato,ind,as ugly; as disgusting; as unattractive,√subh,,11
asura,masc,titan; anti-god; enemy of the devas,√sur,a masc,5
asesa,adj,complete; without remainder,√sis,a adj,11
asesaṃ,ind,completely; entirely; totally; without remnant,√sis,,13
asevitabba,ptp,should not be associated with; should not be affiliated with; should not be partaken of,√sev,a ptp,14
asoka 1,adj,sorrow-free; free from sadness,√suc 1,a adj,11
assa 1.1,masc,horse,,a masc,2
assa 3.1,opt,may be; could be; should be; would be,√as 1,ssa opt,7
assatha,opt,you all could be; you might be,√as 1,ssa opt,7
assasati,pr,inhales; breathes in,√sas 1,ati pr,3
assasanta,prp,inhaling; breathing in,√sas 1,anta prp,10
assasissati,fut,will breathe in; will inhale,√sas 1,ati pr,5
assavanatā,fem,fact of not hearing (of),√su 1,ā fem,7
assaṃ,opt,I could be; I might be; may I be; I could become,√as 1,ssa opt,7
assāda,masc,enjoyment; satisfaction; pleasure; gratification; (comm) sweetness,√sād,a masc,14
assāma,opt,we could be; we may be; we might be; we should be,√as 1,ssa opt,7
assāmika 1,adj,without a paying benefactor; with no patron,,a adj,11
assu 3.1,opt,they should be; they may be; they would be; may they be,√as 1,ssa opt,7
assutavant,adj,unlearned; untaught; uninitiated; untrained,√su 1,ant adj,6
avakkhitta,pp,dropped; thrown down,√khip 1,a pp,11
avaṅkata,adj,,√vañc 1,a adj,11
avacanīya 1,ptp,incorrigible; uninstructible; unteachable; unadmonishable,√vac,a ptp,14
avajjhāyati,pr,mis-meditates; stews (over); brews (over),√jhā,ati pr,3
avañjha,adj,productive; profitable; successful,,a adj,11
avatthāraka,nt,spreading over; covering over; strewing down,√thar,a nt,9
avatthu,adj,without base; without grounds; without foundation,√vas 1,u adj,11
avasissati,pr,remains; is left over,√sis,ati pr,13
avikkhepa,masc,calmness; tranquillity; mental balance; non-distraction,√khip 1,a masc,5
avicāra,adj,free from discursive thought,√car 1,a adj,14
avijjā,fem,ignorance; illusion; not knowing; not understanding,√vid 5,ā fem,7
avitakka,adj,free from thinking; without thought,√takk,a adj,11
avidūre,ind,near (to); not far (from),√dū,,13
aviddasu 1,adj,ignorant; foolish; idiotic,√vid 2,u adj,11
avinīta,pp,badly trained (in); undisciplined (in); uneducated (about),√nī,a pp,11
avipariṇāma,adj,unchanging; not altering,√nam,a adj,11
avirujjhamāna,prp,not opposing; not clashing; not fighting,√rudh 1,māna prp,13
avissajjetvā,abs,having not got rid (of); having not given up,√sajj 1,,14
avivadamāna,prp,not disputing; not quarrelling,√vad 1,māna prp,10
avivāda,masc,not quarrelling; non-dispute; no argument; harmony; peace,√vad 1,a masc,5
avekkhanta,prp,seeing; regarding; viewing; considering,√ikkh,anta prp,10
avera 1,adj,kind; friendly; peaceful; free of ill-will; without animosity,√vīr,a adj,11
ahaṃ,pron,I,,ahaṃ pron,5
ahosi,aor,was; existed; became,√hū,hosi aor,4
aṃsa 1.1,masc,share; portion; part,√aṃs,a masc,2
aṃsa 2.1,masc,shoulder; shoulder-blade,,a masc,2
ākaṅkhati,pr,wishes (for); wants; desires; aspires (for),√kaṅkh 1,ati pr,3
ākaṅkhamāna,prp,wishing (for); desiring (for); seeking (for),√kaṅkh 1,māna prp,10
ākāra 1.2,masc,aspect; facet; detail; property; quality; attribute,√kar,a masc,2
ākāsa 2,masc,sky; air,√kās 1,a masc,2
ākirati 1,pr,stirs up; heaps up; kicks up,√kir,ati pr,3
āgaccheyya,opt,could come; would come along; could approach; would arrive,√gam,eyya opt,7
āgata 3,pp,come (from); arrived (from); returned (from),√gam,a pp,11
āgantar 2,masc,returner (to); who comes back (to),√gam,ar masc,6
āgamma 1,ger,coming (to); arriving (at); meeting (with),√gam,,8
āgāmī 1,adj,who returns; who comes back,√gam,ī adj,5
ācarita,pp,acted; behaved; performed; practised,√car 2,a pp,11
ācariya 1,masc,teacher; religious leader,√car 2,a masc,2
ājānāti 1,pr,knows; understands,√ñā,āti pr,3
ājīva,masc,livelihood; mode of living; way of life; way of earning a living,√jīv,a masc,2
ātappa,nt,effort; exertion,√tap,a nt,14
ātāpī,adj,avid; ardent; zealous; with continuous effort,√tap,ī adj,5
ādāya 1,ger,taking,√ādā,,8
ādāya 3,ger,holding; carrying; having; with,√ādā,,8
ādāya 4,ger,adopting; assuming; according (to),√ādā,,8
ādāyī,adj,taking; receiving; accepting,√ādā,ī adj,5
āditta,pp,blazing; burning; on fire,√dīp,a pp,11
