pali_1,pos,meaning_1,root,pattern,sbs_class
akata 1,pp,not done; not performed; not acted,√kar,a pp,11
akata 2,pp,not made; not created,√kar,a pp,11
akampi,aor,shook; trembled; wavered; was disturbed,√kamp,i aor,4
akammāsa,adj,unblemished; spotless; pure,,a adj,11
akāla 3,adj,out of season; unseasonal,√kal 1,a adj,11
akālika 1,adj,immediate; (comm) giving immediate fruit,√kal 1,a adj,11
akālika 2,adj,timeless; not limited to a particular time,√kal 1,a adj,11
akāsi 1,aor,did; performed,√kar,āsi aor,4
akāsi 2,aor,made,√kar,āsi aor,4
akiñcana,adj,with nothing; is nothing; having no; possession-less; epithet of an arahant,,a adj,11
akuppa 1,ptp,unshakeable; unwavering; unassailable,√kup,a ptp,14
akusala 4,adj,unhealthy; unwholesome; unskillful; unbeneficial; useless,,a adj,11
akovida,adj,unskilled (in); not expert (in); not proficient (in); not a master (of),√vid 2,a adj,11
akkosa,masc,verbal abuse; insult,√kus 1,a masc,2
akkhāta,pp,said; told; declared; announced,√khā,a pp,11
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),√khā,ar masc,6
akhaṇḍa,adj,unbroken; unfragmented; whole,√khaṇḍ,a adj,11
agacchi,aor,went; travelled,√gam,i aor issaṃ,4
agāra 1,nt,dwelling; building; house; hut,,a nt,9
agāra 2,nt,household life; domestic living,,a nt,9
agilāna 1,adj,not sick; healthy,√gilā,a adj,11
agga 1.3,nt,tip; top; peak,,a nt,9
aggi,masc,fire,√agg,i masc,4
aghato,ind,as trouble; as pain; as bad,,,11
aṅga 1,nt,part of the body; limb,√añj 1,a nt,9
aṅga 3,nt,factor; component; element; quality; aspect,√añj 1,a nt,9
aṅgika,adj,consisting of x parts; composed of x factors,√añj 1,a adj,11
acakkhuka,adj,sightless; visionless,√cakkh,a adj,11
acira,adj,(of time) not long; soon; recent,,a adj,11
acelaka,masc,naked ascetic,√cil,a masc,5
accatari,aor,crossed beyond; transcended; overcame; escaped,√tar 1,i aor,4
accaya 3,masc,fault; offence; transgression,√i 1,a masc,2
accayena 2,ind,after the death (of); after the passing (of),√i 1,,13
accādhāya,ger,overlapping; placing one on top of another,√dhā,,8
acchariya 1,adj,wonderful; marvellous,,a adj,11
acchādeti 1.1,pr,dresses; clothes; give clothes (to),√chad,eti pr,3
