pali,pos,meaning,root,construction,pattern,cl.
karuṇā,fem,compassion; sympathy; kindness (towards unfortunate beings),,,ā fem,7
kareyya 1,opt,could do; would do; could make,"√kar 7 o (do, make)",√kar + eyya,karoti pr,7
karoti 1,pr,does; acts; performs,"√kar 7 o (do, make)",karo + ti,karoti pr,3
karohi,imp,do!; make!,"√kar 7 o (do, make)",karo + hi,karoti pr,4
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for),√kal 8 a (accomplish),"√kal + ya + aṃ
kalla + aṃ",,9
kassaka,masc,farmer; ploughman,"√kass 1 a (drag, draw along)",√kass + aka,a masc,2
kassapa 1,masc,name of the 1st previous Buddha,,,a masc,2
kātuṃ 1,inf,to do; to perform,"√kar 7 o (do, make)",√kar + tuṃ,,9
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 8 *e (desire),√kam > kām + *a,a masc,2
kāya 1.1,masc,body; physical body; physical process,"√ci 5 nā (gather, accumulate)",√ci > ki > kay + *a,a masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,"√ci 5 nā (gather, accumulate)",√ci > ki > kay + *a,a masc,2
kāra 1,masc,deed; action; service,"√kar 7 o (do, make)",√kar > kār + *a,a masc,2
kāraka 2,masc,builder,"√kar 7 o (do, make)",√kar > kār + *aka,a masc,2
kālena,ind,timely; at the right time; at an appropriate moment,√kal 8 *e (spend time),"√kal > kāl + *a + ena
kāla + ena",,6
kiṃ 2,ind,how?; what?,,ka > ki + iṃ,,9
kuṭi 1,fem,hut; simple monastic dwelling,"√kuṭ 1 a (be crooked, bent)",√kuṭ + i,i fem,8
kuto 1,ind,from where?; where?,,ka > ku + to,,8
kula 1,nt,family; house; household; respectable family,√kul 1 a (be close),√kul + a,a nt,9
kuhiṃ,ind,where?,,ka > ku + hiṃ,,8
kesa,masc,(head) hair,,,a masc,2
khaṇati,pr,digs; digs up; uproots,√khaṇ 1 a (dig),khaṇa + ti,ati pr,3
khaṇḍicca,nt,brokenness; (comm) broken teeth,√khaṇḍ 8 *e (break),"√khaṇḍ + ita + ya
khaṇḍita + ya",a nt,9
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,,a masc,2
khanti 1,fem,patience; endurance; tolerance,"√kham 1 a (tolerate, endure)",√kham + ti,i fem,8
khandha 1,masc,mass; heap; pile; volume; aggregation,"√khand 1 a (jump up, pile up)",√khand + a,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,"√khand 1 a (jump up, pile up)",√khand + a,a masc,2
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),"√khī 1 a (exhaust, destroy)",√khī > khay + *a,a masc,2
khādati,pr,chews; devours; eats,√khād 1 a (chew),khāda + ti,ati pr,3
khipi 1.1,aor,threw; tossed; hurled,√khip 1 a (throw),√khip + i,i aor,4
khuddā 1,fem,hunger,√khud 1 a (be hungry),√khud + yā,ā fem,7
khemī,adj,at peace; safe; secure,"√khi 1 a (live, abide peacefully)","√khi > khe + *ma + ī
khema + ī",ī adj,5
gaccha 1,imp,go!; begone!; away with you!,√gam 1 a (go),gaccha + a,ati pr,4
gacchati 1,pr,goes; walks; moves; wanders around,√gam 1 a (go),gaccha + ti,ati pr,3
gaṇhati 1,pr,grabs hold (of); seizes; takes,√gah 6 ṇhā (grasp),gaṇhā + ti,ati pr,3
gantukāma,adj,wishing to go (to); wanting to go (to),,gantuṃ + kāma,a adj,9
gantuṃ,inf,to go (to); to travel (to),√gam 1 a (go),√gam + tuṃ,,9
gandha 1,masc,smell; scent; odour,√ghā 3 ya (smell),√ghā + na,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,,a masc,2
gamanāya,nt,to go (to); for going to see; for visiting,√gam 1 a (go),"√gam + ana + āya
gamana + āya",a nt,9
gamissati,fut,will go,√gam 1 a (go),√gam + issa + ti,issati fut,5
gayā 1,fem,name of a village,,,ā fem,7
garu 5,masc,respect; honour,"√gar 1 a (esteem, be heavy)",√gar + u,u masc,6
gavesī 1,adj,seeking; searching for; looking for,"√gaves 1 a (seek, search)",√gaves + ī,ī adj,5
gaha 2,nt,house,√gah 6 ṇhā (grasp),√gah + a,a nt,9
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,√gah 6 ṇhā (grasp),gahe + tvā,,8
gahetvā 5,abs,having arrested; having taken prisoner,√gah 6 ṇhā (grasp),gahe + tvā,,8
gāthā 1,fem,verse; poem; stanza,√gā 3 ya (sing),√gā + thā,ā fem,7
gāma 1,masc,village; hamlet,,,a masc,2
gāmaṇi,masc,chief; chieftain; headman; leader,,gāma + aṇi,i masc,4
gāmī 2,adj,going; moving; who goes,√gam 1 a (go),√gam > gām + *ī,ī adj,5
gāha 2.2,masc,hiding place,"√gāh 1 a (dive, plunge)",√gāh + a,a masc,2
gotama 1,masc,family name of the Buddha,,gotama + a,a masc,2
ghāna,nt,nose,√ghā 3 ya (smell),√ghā + ana,a nt,9
ca 2.1,ind,and; both,,,,6
ca 2.2,ind,but; although; and if,,,,6
cakkhu 1,nt,eye,√cakkh 1 a (see),√cakkh + u,u nt,9
cakkhumant 2,masc,person with sight; who can see,√cakkh 1 a (see),"√cakkh + u + mant
cakkhu + mant",ant masc,6
carati 1.1,pr,walks; wanders; goes around; travels; fares on,"√car 1 a (move, walk)",cara + ti,ati pr,3
carituṃ 1.2,inf,to walk (in); to wander (in),"√car 1 a (move, walk)",√car + ituṃ,,9
caritvā 1.1,abs,having walked; having wandered,"√car 1 a (move, walk)",√car + itvā,,8
cāga 1,masc,giving up; relinquishing; abandoning,"√caj 1 a (give up, let go)",√caj > cāg + *a,a masc,2
cāga 2,masc,generosity; sharing; liberality,"√caj 1 a (give up, let go)",√caj > cāg + *a,a masc,2
citta 1.1,nt,mind; heart,"√cit 8 *e (think, intend)",√cit + ta,a nt,9
cīvara,nt,robe; cloth; robe-cloth,,,a nt,9
ceteti 2,pr,intends; wills (to),"√cit 8 *e (think, intend)",cete + ti,eti pr,3
cora,masc,thief; robber,√cur 8 *e (steal),√cur > cor + *a,a masc,2
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),"√chand 8 *e (desire, please)",√chand + a,a masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,"√chand 8 *e (desire, please)",√chand + a,a masc,2
chetvā 1,abs,having cut off; having severed; (comm) having killed,"√chid 2 ṃa (cut, steal)",√chid > ched + *tvā,,8
jarā,fem,old age; ageing,√jar 1 a (age),√jar + ā,ā fem,7
jahati 1,pr,gives up; leaves; abandons; deserts,√hā 1 a (abandon),jaha + ti,ati pr,3
jānāti 1,pr,knows; understands,√ñā 5 nā (know),jānā + ti,āti pr,3
jāneyya,opt,should know; should understand; should find out,√ñā 5 nā (know),jānā + eyya,āti pr,7
jināti 1,pr,conquers; overcomes; defeats,√ji 5 nā (conquer),jinā + ti,āti pr,3
jināti 2,pr,surpasses; beats; wins (over),√ji 5 nā (conquer),jinā + ti,āti pr,3
jivhā,fem,tongue,,,ā fem,7
jīraṇatā,fem,old age; decrepitude; deterioration,"√jīr 1 a (grow old, decay)","√jīr + aṇa + tā
jīraṇa + tā",ā fem,7
jīrati,pr,ages; grows old; gets worn out; declines,"√jīr 1 a (grow old, decay)",jīra + ti,ati pr,3
jīvitukāma,adj,wishing to live; wanting to stay alive,,jīvituṃ + kāma,a adj,9
jegucchī 1,adj,who is disgusted (to); recoiling (from); who hates (to); who detests,√gup 1 sa (dislike),jiguccha > jeguccha + *ī,ī adj,5
