pali,pos,meaning,root,construction,pattern,cl.
akata 1,pp,not done; not performed; not acted,"√kar 7 o (do, make)",na > a + √kar + ta,a pp,11
akata 2,pp,not made; not created,"√kar 7 o (do, make)",na > a + √kar + ta,a pp,11
akatapubba,adj,not done before; not previously performed,,na > a + kata + pubba,a adj,19
akampi,aor,shook; trembled; wavered; was disturbed,"√kamp 1 a (shake, tremble)",a + √kamp + i,i aor,4
akammāsa,adj,unblemished; spotless; pure,,na > a + kammāsa,a adj,11
akārita 1,pp,not caused to be done (by); not made to do,"√kar 7 *e (do, make)",na > a + kāre + ita,a pp,14
akāritapubba,adj,not previously done; formerly unperformed,,na > a + kārita + pubba,a adj,19
akāla 3,adj,out of season; unseasonal,√kal 8 *e (spend time),na > a + √kal > kāl + *a,a adj,11
akālapuppha,nt,unseasonable flower; blossom appearing out of season,,akāla + puppha,a nt,19
akālika 1,adj,immediate; (comm) giving immediate fruit,√kal 8 *e (spend time),"na > a + √kal > kāl + *a + ika
akāla + ika",a adj,11
akālika 2,adj,timeless; not limited to a particular time,√kal 8 *e (spend time),"na > a + √kal > kāl + *a + ika
akāla + ika",a adj,11
akāsi 1,aor,did; performed,"√kar 7 o (do, make)",a + √kar > kā + si,āsi aor,4
akāsi 2,aor,made,"√kar 7 o (do, make)",a + √kar > kā + si,āsi aor,4
akiñcana,adj,with nothing; is nothing; having no; possession-less; epithet of an arahant,,na > a + kiñci + ana,a adj,11
akuppa 1,ptp,unshakeable; unwavering; unassailable,"√kup 3 ya (shake, be angry)",na > a + √kup + ya,a ptp,14
akuppamāna,prp,not being shaken (by); not being disturbed (by); not being agitated (by),"√kup 3 ya (shake, be angry)",na > a + kuppa + māna,māna prp,13
akusala 3,adj,unhealthy; unwholesome; unskillful; unbeneficial; kammically unprofitable,,na > a + kusala,a adj,11
akuhaka,masc,who is honest; who is not deceitful; who is straight-forward; who is trustworthy,√kuh 8 *e (deceive),na > a + √kuh + aka,a masc,5
akovida,adj,unskilled (in); not expert (in); not proficient (in); not a master (of),√vid 1 a (know),na > a + ku > ko + √vid + *a,a adj,11
akkosa,masc,verbal abuse; insult; name calling,"√kus 1 *a (call, insult)",ā + √kus > kos + *a,a masc,2
akkhāta,pp,said; told; declared; announced (by),"√khā 1 a (tell, announce)",ā + √khā + ta,a pp,11
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),"√khā 1 a (tell, announce)",ā + √khā + tar,ar masc,6
akhaṇḍa,adj,unbroken; unfragmented; whole,√khaṇḍ 8 *e (break),na > a + √khaṇḍ + a,a adj,11
akhārika,adj,mild; not alkaline,,na > a + khāra + ika,a adj,11
agacchi,aor,went; travelled,√gam 1 a (go),a + gaccha + i,i aor issaṃ,4
agāra 1,nt,dwelling; building; house; hut,,,a nt,9
agāra 2,nt,household life; domestic living,,,a nt,9
agilāna 1,adj,not sick; healthy,"√gilā 3 ya (be sick, be tired)",na > a + √gilā + ana,a adj,11
agga 1.2,adj,most; very; extremely; superbly,,,a adj,11
agga 1.3,nt,tip; top; peak,,,a nt,9
aggi,masc,fire,√agg 1 a (move crookedly),√agg + i,i masc,4
aggiparicārika,masc,fire worshipper; attendant of the sacred fire,,aggi + paricārika,a masc,20
aghato,ind,as trouble; as pain; as bad,,agha + to,,11
aṅkusa 1,masc,hooked pole (used for elephant control),√añc 1 a (bend),√añc > aṅk + usa,a masc,2
aṅkusaggaha,masc,mahout; elephant driver; (comm) elephant trainer,,aṅkusa + gaha,a masc,19
aṅga 1,nt,part of the body; limb,√añj 8 *e (distinguish),√añj > aṅg + a,a nt,9
aṅga 3,nt,factor; component; element; quality; aspect,√añj 8 *e (distinguish),√añj > aṅg + a,a nt,9
aṅgamaṅgāni,nt,limb by limb; all the limbs,,"aṅgaṃ + aṅga + āni
aṅgamaṅga + āni",a nt pl,19
aṅgika,adj,consisting of x parts; composed of x factors,√añj 8 *e (distinguish),"√añj > aṅg + a + ika
aṅga + ika",a adj,11
aṅgulimāla,masc,name of an arahant monk,,"aṅguli + mālā + a
aṅgulimālā + a",a masc,19
acakkhuka,adj,sightless; visionless,√cakkh 1 a (see),"na > a + √cakkh + u + ka
cakkhuka + ka",a adj,11
acāri 1.1,aor,walked around; wandered around; roamed,"√car 1 a (move, walk)",a + √car > cār + i,i aor isuṃ,4
acira,adj,(of time) not long; soon; recent,,na > a + cira,a adj,11
acirapabbajita,adj,recently ordained,,acira + pabbajita,a adj,19
acelaka,masc,naked ascetic,√cil 1 a (clothe),"na > a + √cil > cel + *a + ka
acela + ka",a masc,5
accatari,aor,crossed beyond; transcended; overcame; escaped,√tar 1 a (cross),ati > aty > acc + a + √tar + i,i aor,4
accaya 3,masc,fault; offence; transgression,"√i 1 a (come, go)",ati > aty > acc + √i > ay + *a,a masc,2
accayati 2,pr,(of time) passes; flies past,"√i 1 a (come, go)",ati > aty > acc + aya + ti,ati pr,3
accayena 2,ind,after the death (of); after the passing (of),"√i 1 a (come, go)","ati > aty > acc + √i > ay + *a + ena
accaya + ena",,13
accādhāya,ger,overlapping; placing one on top of another,"√dhā 1 a (place, support)",ati > aty > acc + ā + √dhā + ya,,8
acchariya 1,adj,wonderful; marvellous,,acchara + iya,a adj,11
acchādeti 1.1,pr,dresses; clothes; give clothes (to),"√chad 8 *e (cover, conceal)",ā + chāde + ti,eti pr,3
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,"√chad 8 *e (cover, conceal)",ā + chāde + tvā,,8
acchidda 1,pp,unbroken; flawless; without cracks,"√chid 2 ṃa (cut, steal)",na > a + √chid + ta,a pp,11
acchejji,aor,completely cut out; utterly severed; totally destroyed,"√chid 2 *e + ya (cut, steal)",ā + chejja + i,i aor,14
ajāta 1,pp,unborn; uncreated; unproduced,"√jan 3 ya (be born, produce)",na > a + √jan > jā + ta,a pp,11
ajānanta,prp,not knowing; being ignorant (of),√ñā 5 nā (know),na > a + jānā + nta,anta prp,10
ajāyamāna,prp,not being born; not coming into being; not arising,"√jan 3 ya (be born, produce)",na > a + jāya + māna,māna prp,13
ajīyamāna,prp,not growing old; not getting old; not ageing,"√jī 3 ya (age, decay)",na > a + jīya + māna,māna prp,10
ajeguccha 1,adj,honourable; respectable; estimable; (comm) likeable,√gup 1 sa (dislike),"na > a + jiguccha > jeguccha + ā + *a
ajigucchā + *a",a adj,11
ajesi,aor,conquered; defeated,√ji 1 a (conquer),a + je + si,esi aor,4
ajeḷakā,masc,goats and sheep,,"aja + eḷaka + ā
ajeḷaka + ā",a masc pl,19
ajja,ind,today; now,,ima + jja,,6
ajjatagge,ind,from today onwards,,"ajja + [t] + agga + e
ajjatagga + e",,20
ajjatana,adj,modern; related to today,,ajja + tana,a adj,11
ajjeva,sandhi,this very day; just today; right now,,ajja + eva,,16
